X,Y,TILAVUUS,X,Y,icon_url
23.7752136053613,61.505528340114,"322","3328514","6826206",./2.png
23.7748270620562,61.5066733009667,"322","3328499.75","6826334.5",./2.png
23.7778233664423,61.5056484458721,"322","3328653.5","6826212.5",./2.png
23.7772890648168,61.5061791854926,"323","3328628","6826273",./0.png
23.7780460383828,61.5060848159112,"322","3328667.75","6826260.5",./2.png
23.7808924525529,61.5056895378044,"323","3328817","6826209",./0.png
23.7806914551782,61.5061787646201,"322","3328809","6826264",./2.png
23.7815478870678,61.5049865095027,"323","3328848","6826129",./0.png
23.7813890413995,61.5054318257951,"322","3328842","6826179",./2.png
23.783781792344,61.5055601639855,"322","3328970","6826187",./2.png
23.7822795679736,61.5060905297382,"323","3328893","6826250",./0.png
23.7758145991399,61.5037193393277,"323","3328536","6826003",./0.png
